Core Name,Task Name,Period,WCET,Utilization
CPU_0,T17-Copy1-HC,50,7,0.1302117681089706
CPU_0,T15-Copy2-HC,200,14,0.06857825627252427
CPU_0,T27-Copy2-HC,50,2,0.033039310483896266
CPU_0,T18-Copy1-HC,50,1,0.024020219254371256
CPU_0,T2-Copy2-HC,10,1,0.020541375405143114
CPU_0,T45-LC,200,84,0.41858577207755854
CPU_0,,,,0.694976701602464
CPU_1,T17-Copy2-HC,50,7,0.1302117681089706
CPU_1,T15-Copy1-HC,200,14,0.06857825627252427
CPU_1,T27-Copy3-HC,50,2,0.033039310483896266
CPU_1,T30-Copy3-HC,100,3,0.02865252832489329
CPU_1,T13-Copy1-HC,10,1,0.006841262845462974
CPU_1,T23-Copy1-HC,400,2,0.005975094988583507
CPU_1,T8-Copy1-HC,20,1,0.004590970960983635
CPU_1,T33-LC,1000,219,0.2187644166203846
CPU_1,T34-LC,50,7,0.14848217081207782
CPU_1,T38-LC,50,2,0.040164731345708304
CPU_1,,,,0.6853005107634853
CPU_2,T17-Copy3-HC,50,7,0.1302117681089706
CPU_2,T12-Copy3-HC,1000,73,0.07254877103696522
CPU_2,T26-Copy3-HC,40,1,0.03252025732969225
CPU_2,T18-Copy3-HC,50,1,0.024020219254371256
CPU_2,T16-Copy3-HC,200,2,0.010627341313818187
CPU_2,T10-Copy2-HC,40,1,0.005594627527211553
CPU_2,T6-Copy3-HC,50,1,0.0006379821248885994
CPU_2,T31-LC,500,250,0.4997485160285313
CPU_2,,,,0.775909482724449
CPU_3,T19-Copy1-HC,100,12,0.1208043327485413
CPU_3,T12-Copy2-HC,1000,73,0.07254877103696522
CPU_3,T14-Copy3-HC,50,3,0.05569806838633262
CPU_3,T9-Copy3-HC,20,1,0.02070298998233966
CPU_3,T10-Copy1-HC,40,1,0.005594627527211553
CPU_3,T6-Copy2-HC,50,1,0.0006379821248885994
CPU_3,T32-LC,20,12,0.5872903198921788
CPU_3,,,,0.8632770916984578
CPU_4,T19-Copy2-HC,100,12,0.1208043327485413
CPU_4,T12-Copy1-HC,1000,73,0.07254877103696522
CPU_4,T28-Copy1-HC,400,15,0.03630246643369617
CPU_4,T25-Copy2-HC,10,1,0.02931023819466046
CPU_4,T16-Copy2-HC,200,2,0.010627341313818187
CPU_4,T23-Copy3-HC,400,2,0.005975094988583507
CPU_4,T57-LC,200,123,0.6173447943885215
CPU_4,,,,0.8929130391047864
CPU_5,T19-Copy3-HC,100,12,0.1208043327485413
CPU_5,T11-Copy3-HC,200,16,0.07876719931410925
CPU_5,T26-Copy2-HC,40,1,0.03252025732969225
CPU_5,T18-Copy2-HC,50,1,0.024020219254371256
CPU_5,T2-Copy3-HC,10,1,0.020541375405143114
CPU_5,T35-LC,50,20,0.40017835074505026
CPU_5,,,,0.6768317347969074
CPU_6,T20-Copy1-HC,1000,110,0.10989406885296482
CPU_6,T11-Copy2-HC,200,16,0.07876719931410925
CPU_6,T15-Copy3-HC,200,14,0.06857825627252427
CPU_6,T16-Copy1-HC,200,2,0.010627341313818187
CPU_6,T13-Copy3-HC,10,1,0.006841262845462974
CPU_6,T8-Copy3-HC,20,1,0.004590970960983635
CPU_6,T44-LC,400,80,0.199208123795942
CPU_6,T54-LC,50,10,0.19779634257016654
CPU_6,T46-LC,200,3,0.012735626756469998
CPU_6,,,,0.6890391926824417
CPU_7,T20-Copy2-HC,1000,110,0.10989406885296482
CPU_7,T11-Copy1-HC,200,16,0.07876719931410925
