Core Name,Task Name,Period,WCET,Utilization
CPU_9,,,,0.9963731638265
CPU_10,T46-LC,100,23,0.2349435777643749
CPU_10,T52-LC,500,111,0.2224452805655841
CPU_10,T48-LC,10,2,0.18163521939567473
CPU_10,T53-LC,20,4,0.1772502344474447
CPU_10,T35-LC,40,7,0.17362278320739843
CPU_10,,,,0.9898970953804769
CPU_11,T50-LC,20,3,0.1484978199181548
CPU_11,T51-LC,20,3,0.14632798071384356
CPU_11,T36-LC,200,21,0.1071445670106419
CPU_11,T33-LC,1000,106,0.10648173484594192
CPU_11,T56-LC,40,4,0.09024744117369343
CPU_11,T41-LC,200,15,0.07318329628263198
CPU_11,T55-LC,40,3,0.07017717899743492
CPU_11,T49-LC,50,3,0.06509754324630812
CPU_11,T58-LC,1000,55,0.05548803469042396
CPU_11,T60-LC,100,5,0.05298797107239663
CPU_11,T32-LC,100,5,0.052810834608393975
CPU_11,,,,0.9684444025598652
CPU_12,T31-LC,20,1,0.03500081081171924
CPU_12,T37-LC,40,1,0.03462334155700386
CPU_12,,,,0.0696241523687231
CPU_13,,,,0
CPU_14,,,,0
CPU_15,,,,0
