Core Name,Task Name,Period,WCET,Utilization
CPU_0,T27-Copy1-HC,40,10,0.24579220844888727
CPU_0,T1-Copy2-HC,40,4,0.09901173954546512
CPU_0,T26-Copy2-HC,10,1,0.06337283011306087
CPU_0,T7-Copy3-HC,200,5,0.02546660179628842
CPU_0,T21-Copy2-HC,500,3,0.00500897025086496
CPU_0,T16-Copy2-HC,200,1,0.002402138314969567
CPU_0,T59-LC,50,18,0.3591802910825297
CPU_0,,,,0.8002347795520659
CPU_1,T27-Copy2-HC,40,10,0.24579220844888727
CPU_1,T1-Copy1-HC,40,4,0.09901173954546512
CPU_1,T26-Copy3-HC,10,1,0.06337283011306087
CPU_1,T7-Copy2-HC,200,5,0.02546660179628842
CPU_1,T21-Copy3-HC,500,3,0.00500897025086496
CPU_1,T16-Copy1-HC,200,1,0.002402138314969567
CPU_1,T60-LC,50,16,0.3109415968514946
CPU_1,,,,0.7519960853210308
CPU_2,T27-Copy3-HC,40,10,0.24579220844888727
CPU_2,T11-Copy3-HC,40,4,0.10786072508900386
CPU_2,T9-Copy3-HC,400,23,0.05815887042118225
CPU_2,T19-Copy1-HC,50,1,0.025171845699505962
CPU_2,T3-Copy1-HC,1000,4,0.003975990072956274
CPU_2,T33-LC,100,36,0.3617051307695496
CPU_2,,,,0.8026647705010852
CPU_3,T13-Copy1-HC,1000,227,0.22653068303614177
CPU_3,T11-Copy2-HC,40,4,0.10786072508900386
CPU_3,T6-Copy3-HC,200,14,0.07019513027342998
CPU_3,T2-Copy3-HC,50,1,0.028194847560090608
CPU_3,T30-Copy3-HC,200,1,0.006681371466531101
CPU_3,T5-Copy1-HC,200,1,0.0014073996641759123
CPU_3,T40-LC,200,77,0.38679433327681023
CPU_3,,,,0.8276644903661834
CPU_4,T13-Copy2-HC,1000,227,0.22653068303614177
CPU_4,T11-Copy1-HC,40,4,0.10786072508900386
CPU_4,T26-Copy1-HC,10,1,0.06337283011306087
CPU_4,T14-Copy2-HC,1000,34,0.0344390574599848
CPU_4,T30-Copy2-HC,200,1,0.006681371466531101
CPU_4,T16-Copy3-HC,200,1,0.002402138314969567
CPU_4,T47-LC,100,27,0.27288863624608606
CPU_4,T50-LC,50,1,0.00469869574470172
CPU_4,,,,0.7188741374704797
CPU_5,T13-Copy3-HC,1000,227,0.22653068303614177
CPU_5,T20-Copy3-HC,1000,119,0.11901567334762249
CPU_5,T9-Copy1-HC,400,23,0.05815887042118225
CPU_5,T2-Copy2-HC,50,1,0.028194847560090608
CPU_5,T30-Copy1-HC,200,1,0.006681371466531101
CPU_5,T10-Copy3-HC,1000,3,0.002720413045292247
CPU_5,T31-LC,100,23,0.2308623118696822
CPU_5,T55-LC,500,30,0.060606386505720033
CPU_5,,,,0.7327705572522627
CPU_6,T12-Copy1-HC,200,43,0.21404201664255673
